"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","04.04.2022 08:00 - 04.04.2022 08:15 (CET/CEST)","4224","11574","n/e","4650","5173","293","n/e","n/e","21","2297","443","945","67","n/e","4104","304","122","3863","831","4432","33236"
"BZN|DE-LU","04.04.2022 08:15 - 04.04.2022 08:30 (CET/CEST)","4231","11314","n/e","4645","5174","293","n/e","n/e","21","1754","454","932","51","n/e","4112","304","122","5200","847","4409","33481"
"BZN|DE-LU","04.04.2022 08:30 - 04.04.2022 08:45 (CET/CEST)","4224","11120","n/e","4575","5336","292","n/e","n/e","21","985","664","935","46","n/e","4106","304","122","6626","844","4405","33430"
"BZN|DE-LU","04.04.2022 08:45 - 04.04.2022 09:00 (CET/CEST)","4207","10770","n/e","4602","5325","292","n/e","n/e","21","342","1101","936","33","n/e","4104","304","122","8088","847","4388","33751"
"BZN|DE-LU","04.04.2022 09:00 - 04.04.2022 09:15 (CET/CEST)","4230","10238","n/e","4441","5111","292","n/e","n/e","21","940","1098","947","159","n/e","4108","304","122","9463","854","4158","34337"
"BZN|DE-LU","04.04.2022 09:15 - 04.04.2022 09:30 (CET/CEST)","4233","9964","n/e","4440","5057","292","n/e","n/e","21","688","1324","953","40","n/e","4102","304","122","10825","846","4159","34415"
"BZN|DE-LU","04.04.2022 09:30 - 04.04.2022 09:45 (CET/CEST)","4229","9491","n/e","4459","5156","292","n/e","n/e","21","265","2048","960","31","n/e","4090","304","122","12114","865","4169","35002"
"BZN|DE-LU","04.04.2022 09:45 - 04.04.2022 10:00 (CET/CEST)","4230","9264","n/e","4470","5237","292","n/e","n/e","21","275","2896","962","34","n/e","4026","304","122","13481","862","4179","35262"
"BZN|DE-LU","04.04.2022 10:00 - 04.04.2022 10:15 (CET/CEST)","4234","9033","n/e","4213","5390","292","n/e","n/e","21","30","3407","966","46","n/e","3941","299","120","14619","853","3968","35286"
"BZN|DE-LU","04.04.2022 10:15 - 04.04.2022 10:30 (CET/CEST)","4220","8689","n/e","4205","5324","292","n/e","n/e","21","3","3870","954","49","n/e","3927","294","118","15522","851","4112","34794"
"BZN|DE-LU","04.04.2022 10:30 - 04.04.2022 10:45 (CET/CEST)","4232","8318","n/e","4179","5229","292","n/e","n/e","21","47","4222","958","82","n/e","3930","289","115","16509","850","4318","33971"
"BZN|DE-LU","04.04.2022 10:45 - 04.04.2022 11:00 (CET/CEST)","4222","7871","n/e","4182","5205","292","n/e","n/e","21","27","4290","959","47","n/e","3926","289","115","17188","844","4342","33846"
"BZN|DE-LU","04.04.2022 11:00 - 04.04.2022 11:15 (CET/CEST)","4235","7320","n/e","4011","5112","292","n/e","n/e","21","4","4705","963","34","n/e","3892","284","113","17609","838","4140","35155"
"BZN|DE-LU","04.04.2022 11:15 - 04.04.2022 11:30 (CET/CEST)","4225","7063","n/e","3908","5076","292","n/e","n/e","21","7","4356","965","89","n/e","3703","280","111","N/A","848","3996","N/A"
"BZN|DE-LU","04.04.2022 11:30 - 04.04.2022 11:45 (CET/CEST)","4388","7027","n/e","3877","5069","292","n/e","n/e","21","16","4251","965","127","n/e","3617","276","109","18394","837","4026","35794"
"BZN|DE-LU","04.04.2022 11:45 - 04.04.2022 12:00 (CET/CEST)","4397","7022","n/e","3968","5104","292","n/e","n/e","21","8","4401","959","125","n/e","3564","275","109","18574","840","3953","35806"
"BZN|DE-LU","04.04.2022 12:00 - 04.04.2022 12:15 (CET/CEST)","4398","7018","n/e","4152","4914","292","n/e","n/e","21","4","4934","970","66","n/e","3583","275","109","18677","845","4072","35018"
"BZN|DE-LU","04.04.2022 12:15 - 04.04.2022 12:30 (CET/CEST)","4395","6939","n/e","4143","4913","292","n/e","n/e","21","1","5435","972","96","n/e","3573","275","109","18728","848","4068","35639"
"BZN|DE-LU","04.04.2022 12:30 - 04.04.2022 12:45 (CET/CEST)","4400","6921","n/e","4124","4912","292","n/e","n/e","21","5","5395","974","100","n/e","3573","275","109","18692","846","4090","35356"
"BZN|DE-LU","04.04.2022 12:45 - 04.04.2022 13:00 (CET/CEST)","4405","6962","n/e","4154","4927","292","n/e","n/e","21","43","5550","972","108","n/e","3559","275","109","18720","848","4081","34937"
"BZN|DE-LU","04.04.2022 13:00 - 04.04.2022 13:15 (CET/CEST)","4418","6901","n/e","4020","4947","293","n/e","n/e","21","45","5826","981","84","n/e","3560","275","109","18726","854","4342","35767"
"BZN|DE-LU","04.04.2022 13:15 - 04.04.2022 13:30 (CET/CEST)","4412","6971","n/e","3916","4943","293","n/e","n/e","21","41","5765","968","128","n/e","3567","275","109","18682","855","4366","35399"
"BZN|DE-LU","04.04.2022 13:30 - 04.04.2022 13:45 (CET/CEST)","4416","6950","n/e","3941","4924","293","n/e","n/e","21","47","5882","978","126","n/e","3579","275","109","18570","862","4374","34812"
"BZN|DE-LU","04.04.2022 13:45 - 04.04.2022 14:00 (CET/CEST)","4422","6955","n/e","3965","4913","293","n/e","n/e","21","41","6163","979","59","n/e","3564","275","109","18597","850","4367","34683"
"BZN|DE-LU","04.04.2022 14:00 - 04.04.2022 14:15 (CET/CEST)","4420","7044","n/e","3939","4887","293","n/e","n/e","21","185","5850","980","128","n/e","3561","275","109","18303","839","4283","34480"
"BZN|DE-LU","04.04.2022 14:15 - 04.04.2022 14:30 (CET/CEST)","4406","7012","n/e","3937","4922","293","n/e","n/e","21","171","5558","998","158","n/e","3557","275","109","18019","840","4244","34267"
"BZN|DE-LU","04.04.2022 14:30 - 04.04.2022 14:45 (CET/CEST)","4410","7071","n/e","3944","4918","293","n/e","n/e","21","176","5252","999","172","n/e","3587","275","109","17353","837","3958","34084"
